#枚举值部分
bottomSpace,底部间距
buttonSpace,按钮间距
icoSize,图标大小
fill,拉伸填充
fade,渐变显示
alarmColor,报警颜色
showRect,显示矩形
bgRadius,背景圆角角度
headRadius,头部圆角角度
borderColorStart,边框开始颜色
borderColorEnd,边框结束颜色
alarmColorStart,报警开始颜色
alarmColorEnd,报警结束颜色
normalColorStart,正常开始颜色
normalColorEnd,正常结束颜色
headColor,鱼头颜色
bodyColor,鱼身颜色
finColor,鱼鳍颜色
tailColor,鱼尾颜色
baseColor,基准颜色
finMove,鱼鳍摆动
speed,游动速度
wave,晃动幅度
currentAngle,旋转角度
headLen,鱼头尺寸
bodyLen,鱼身尺寸
finLen,鱼鳍尺寸
tailLen,鱼尾尺寸
bodyColor,身体颜色
eyeColor,眼睛颜色
eyeballColor,眼珠颜色
noseColor,鼻子颜色
earColor,耳朵颜色
tailColor,尾巴颜色
maxRadius,最大圆角
pieColor1Start,圆1开始颜色
pieColor1End,圆1结束颜色
pieColor2Start,圆2开始颜色
pieColor2End,圆2结束颜色
select,选中
showLunar,显示农历
bgImage,背景图片
selectType,选中模式
date,当前日期
lunar,农历信息
dayType,当前日类型
borderColor,边框颜色
weekColor,周末颜色
superColor,角标颜色
lunarColor,农历节日颜色
currentTextColor,当前月文字颜色
otherTextColor,其他月文字颜色
selectTextColor,选中日期文字颜色
hoverTextColor,悬停日期文字颜色
currentLunarColor,当前月农历文字颜色
otherLunarColor,其他月农历文字颜色
selectLunarColor,选中日期农历文字颜色
hoverLunarColor,悬停日期农历文字颜色
currentBgColor,当前月背景颜色
otherBgColor,其他月背景颜色
selectBgColor,选中日期背景颜色
hoverBgColor,悬停日期背景颜色
weekNameFormat,星期格式
weekTextColor,星期文字颜色
weekBgColor,星期背景颜色
bgPix,背景图片

names,姓名集合
types,类型集合
tels,电话集合
bgImage,背景图片
bgColor,背景颜色
telHighFontSize,高亮标签字体大小
telHighBgImage,高亮标签背景图片
telHighBgColor,高亮标签背景颜色
telHighTextColor,高亮标签文字颜色
telBannerBgColor,顶部字母导航背景颜色
telBannerTextColor,顶部字母导航文字颜色
telBannerLineColor,顶部字母导航线条颜色
telLetterNormalColor,右侧字母导航正常颜色
telLetterHighColor,右侧字母导航高亮颜色
telButtonBgColor,通讯录按钮背景颜色
telButtonNameColor,通讯录按钮姓名颜色
telButtonTypeColor,通讯录按钮类型颜色
telPanelNormalColor,滚动条正常颜色
telPanelHighColor,滚动条高亮颜色
dotColor,点颜色
dotRadius,点圆角角度
polygonColor,多边形颜色
selectColor,选中颜色
selectDotVisible,选中点可见
online,限定在线内
rockerRadius,遥感圆半径
rockerColor,遥感颜色

showTitle,显示标题
titleHeight,标题高度
titleFontSize,标题字号
title,标题
showLegend,显示图例
legendHeight,图例高度
legendFontSize,图例字号
bgColor,背景颜色
textColor,文字颜色
highColor,高亮颜色
flagColor,标识颜色
outCircleColor,外圆颜色
midCircleColor,中间圆颜色
inCircleColor,里边圆颜色
outPieInfos,外边饼图数据
inPieInfos,里边饼图数据
lineStep,线条步长
lineSpeed,线条速度
lineStyle,线条样式
itemWidth,元素宽度
itemHeight,元素高度
autoWidth,自动宽度
dotHide,隐藏点
number,数字
numberColorStart,数字开始颜色
numberColorEnd,数字结束颜色
numberBgColorStart,背景开始颜色
numberBgColorEnd,背景结束颜色
chunkColor1,进度颜色1
chunkColor2,进度颜色2
chunkColor3,进度颜色3
textColor1,文字颜色1
textColor2,文字颜色2
textColor3,文字颜色3
sleep,文本停留间隔
staticText,静态文本
textSize,文本大小
mouseHoverStop,鼠标悬停停止
moveStyle,滚动样式
titleHeight,标题高度
titleText,标题文字
titleFont,标题字体
titleAlignment,标题对齐方式
titleColor,标题颜色
titleDisableColor,禁用文字颜色
borderDisableColor,禁用边框颜色
alarmInterval,报警切换间隔
alarmTextColor,报警文字颜色
alarmDarkColor,报警加深颜色
alarmNormalColor,报警普通颜色
isAlarm,报警
isEnable,启用
margin,边距
codeLen,验证码长度
noiseCount,干扰点数量
lineCount,干扰线条数量
zoomFactor,缩放因子
penColor,画笔颜色
iconImage,图标图片
ip,IP地址
drawPoint,绘制坐标点
pointSize,坐标点尺寸
pointStyle,坐标点样式
int labWidth,左侧宽度
textCh1,通道1文字
textCh2,通道2文字
textCh3,通道3文字
textCh4,通道4文字
videoTextColor,顶部文字颜色
videoBgColor,顶部背景颜色
videoChColor,通道背景颜色
videoDataColor,通道数据颜色
copyImage,拷贝图片
checkLive,检测活着
drawImage,绘制图片
fillImage,拉伸填充
flowEnable,显示悬浮条
flowBgColor,悬浮条背景颜色
flowPressColor,悬浮条按下颜色
timeout,超时时间
focusColor,有焦点边框颜色
bgText,显示文字
bgImage,背景图片
osd1Visible,显示标签1
osd1FontSize,标签1字号
osd1Text,标签1文本
osd1Color,标签1颜色
osd1Image,标签1图片
osd1Format,标签1文本格式
osd1Position,标签1位置
osd2Visible,显示标签2
osd2FontSize,标签2字号
osd2Text,标签2文本
osd2Color,标签2颜色
osd2Image,标签2图片
osd2Format,标签2文本格式
osd2Position,标签2位置
grooveColor,滑过的颜色
handleBorderColor,手柄边框颜色
sliderHeight,滑块高度
itemTexts,节点文本集合
normalPixmap,正常图标
selectPixmap,选中图标
hoverPixmap,悬停图标
itemCount,节点个数
itemWidth,节点宽度
itemHeight,节点高度
itemColor,节点颜色
scrollWidth,滚动条宽度
scrollLeft,滚动条在左侧
scrollColor,滚动条颜色
enableEdit,编辑菜单启用
enableAdd,添加菜单启用
enableDelete,删除菜单启用
scrollWidth,滚动条宽度
scrollLeft,滚动条在左侧
scrollColor,滚动条颜色
valueColor,值颜色
imageBorderWidth,图片边框宽度
imageBorderColor,图片边框颜色
scanRadius,扫描线半径
scanWidth,扫描线边框宽度
scanStep,扫描线步长
ringStep,扩散圈步长
scanColor,扫描线颜色
damping,衰减系数
refractive,折射系数
stoneSize,石头大小
stoneWeight,石头重量
arcWidth,圆弧宽度
freeColor|GaugeEdit,进度背景
infos,信息集合 
hoverOffset,悬停偏移值
hoverAlpha,悬停透明度
valueBrush,值画刷
shadowColor,光晕颜色
shadowWidth,光晕宽度
radiusWidth,半径宽度
itemMargin,节点边距
itemHeight,节点高度
infoPadding,信息距离
infoHeight,信息高度
hourColor,时钟颜色
minuteColor,分钟颜色
secondColor,秒钟颜色
